Feature,Mean_R2_Drop,SEM,CI_Lower,CI_Upper,t_statistic,Raw_p_value,FDR_corrected_p,Cohens_d,Significant_Raw,Significant_FDR
Z Position,0.0437526723173014,0.00362568487867467,0.0358813745512147,0.0516239700833882,11.7274269593248,1.42889522210702e-09,1.85756378873912e-08,2.76418104293617,1,1
Y Position,0.0837370894806725,0.00818048686809071,0.0659773971287432,0.101496781832602,9.9477970861107,1.67164870159483e-08,1.08657165603664e-07,2.34471825915222,1,1
Dominant Freq,0.0426124159338788,0.00496095647786721,0.0318422671348018,0.0533825647329558,8.3475484530088,2.03586961279241e-07,6.61657624157532e-07,1.96753603913527,1,1
X Position,0.0792778011132247,0.00907823246521898,0.0595691189429157,0.0989864832835337,8.48669324106466,1.61845610772455e-07,6.61657624157532e-07,2.00033278020229,1,1
tSNE-Y,0.00656756680621168,0.0011606314985735,0.00404785634386423,0.00908727726855914,5.49918530849665,3.91021705382669e-05,0.000101665643399494,1.29617040754647,1,1
tSNE-X,0.00840490369828731,0.00167364067529265,0.00477145938376695,0.0120383480128077,4.88043718792378,0.0001408289125989,0.000305129310630949,1.15033007691197,1,1
Shock,0.00246763833906157,0.0010453226274224,0.000198261397213955,0.00473701528090918,2.29413708767665,0.0347916891523657,0.0565364948725943,0.540733297222572,1,0
Sound,0.00246763833906157,0.0010453226274224,0.000198261397213955,0.00473701528090918,2.29413708767665,0.0347916891523657,0.0565364948725943,0.540733297222572,1,0
WP2,0.00260385194514366,0.00131257151480125,-0.000245717605991954,0.00545342149627928,1.92788675540358,0.0707450037833704,0.102187227687091,0.454407266035201,0,0
WP1,0.00205479939533652,0.0011219177415353,-0.000380864184976593,0.00449046297564964,1.7799041742235,0.0929725252812627,0.120864282865642,0.419527437151893,0,0
Speed,0.00298742454488276,0.00199337587775249,-0.00134015924095906,0.00731500833072459,1.45645125647618,0.163489645727465,0.193215035859731,0.343288853307324,0,0
IR1,0.00143193108372451,0.00151447720935653,-0.00185597216040819,0.00471983432785721,0.918856268722906,0.371024849479664,0.371024849479664,0.216576499516579,0,0
IR2,0.00125182190979961,0.00126378759210551,-0.00149183860770916,0.00399548242730838,0.962623964996365,0.349230098150422,0.371024849479664,0.226892644460537,0,0
