SNR_Group,Breathing_Rate,R_squared,Sample_Size
Both Good,Low (<2Hz),0.101717156326456,101894
Both Good,Mid (2-5Hz),0.00378978894904381,37654
Both Good,High (>5Hz),0.188794043968111,76452
Bad Breathing,Low (<2Hz),0.0702756496094612,53963
Bad Breathing,Mid (2-5Hz),0.0469515659871271,30480
Bad Breathing,High (>5Hz),0.027629013862262,23557
Bad Photometry,Low (<2Hz),0.0522401768866631,182932
Bad Photometry,Mid (2-5Hz),0.00643773691614833,44838
Bad Photometry,High (>5Hz),0.0952554205695859,60230
Both Bad,Low (<2Hz),0.0185310526957878,5335
Both Bad,Mid (2-5Hz),0.0114051078710166,15479
Both Bad,High (>5Hz),0.0242088371491093,15186
