Feature,Mean_Diff_Good_vs_Bad,Raw_p,FDR_p,Significant
Dominant Freq,0.062401939931371,0.000752763544428946,0.00828039898871841,1
X Position,-0.0180359450028906,0.223168579909095,0.79215524815674,0
Y Position,-0.0108517943569661,0.605278531008126,0.793595710976819,0
Z Position,0.00998988284303601,0.748713592319202,0.823584951551123,0
Speed,-0.0216864397821376,0.00938455843441239,0.0516150713892681,0
tSNE-X,-0.0128486957554232,0.440226016237153,0.79215524815674,0
tSNE-Y,-0.00202141898038104,0.87395855186971,0.87395855186971,0
IR1,-0.029315973973433,0.465981099375647,0.79215524815674,0
IR2,0.00982513909900741,0.649305581708307,0.793595710976819,0
WP1,0.0133835586876393,0.504098794281562,0.79215524815674,0
WP2,-0.0113636163844502,0.436233624173234,0.79215524815674,0
Shock,0,NaN,NaN,0
Sound,0,NaN,NaN,0
